typeofaction,sourceid,destinationid,amountofmoney,date,isfraud,typeoffraud
transfer,616,431,19240.0,2022-11-20 12:05,1,type1
transfer,616,54,19212.14,2022-07-18 13:55,1,type1
transfer,616,566,20682.45,2022-02-26 16:19,1,type1
transfer,616,817,20828.31,2022-03-09 07:46,1,type1
transfer,616,619,19944.92,2023-09-09 07:43,1,type1
transfer,299,493,61.32,2023-04-04 00:29,1,type2
transfer,520,209,63.31,2023-04-04 00:30,1,type2
transfer,925,1,64.36,2023-04-04 00:31,1,type2
transfer,1000,325,63.63,2023-04-04 00:32,1,type2
transfer,3,686,63.74,2023-04-04 00:33,1,type2
transfer,482,955,20341.07,2022-05-09 09:30,1,type3
transfer,601,955,19916.38,2024-05-06 14:10,1,type3
transfer,86,955,20199.89,2024-04-13 11:35,1,type3
transfer,564,955,20420.09,2023-11-23 12:19,1,type3
transfer,174,955,20241.7,2021-08-29 13:34,1,type3
transfer,16,11,4547.65,2020-01-07 11:38,0,none
transfer,661,959,5393.68,2024-03-05 11:52,0,none
transfer,639,995,35.66,2021-02-19 14:16,0,none
transfer,574,305,7878.4,2021-11-07 08:10,0,none
cash-in,89,778,421.37,2020-07-23 03:53,0,none
transfer,290,466,7464.77,2024-07-17 10:44,0,none
transfer,210,152,8873.67,2024-07-10 21:00,0,none
cash-in,880,894,6178.5,2020-12-11 17:28,0,none
transfer,767,938,7550.85,2023-05-12 23:21,0,none
cash-in,44,802,8043.29,2024-04-02 19:37,0,none
cash-in,44,408,5983.67,2022-05-13 13:25,0,none
cash-in,99,800,4819.77,2022-03-17 17:25,0,none
transfer,70,725,4138.29,2022-11-22 05:39,0,none
transfer,62,856,6051.43,2023-07-19 09:01,0,none
cash-in,265,549,2058.96,2022-03-15 14:48,0,none
transfer,496,948,19808.13,2022-01-06 03:51,1,type1
transfer,496,391,20958.82,2020-02-23 07:52,1,type1
transfer,496,602,19838.52,2022-07-09 03:53,1,type1
transfer,496,281,19988.31,2020-04-05 17:04,1,type1
transfer,496,59,20702.59,2020-12-12 08:43,1,type1
